name,bib,flag,utmb_index,utmb_agegroup,utmb_uri,utmb_name
Mangger Lukas,338,🇮🇹 (Italy),845,20-34,https://utmb.world/en/runner/4200697.lukas.mangger,Lukas MANGGER
Fritz Tobias,327,🇩🇪 (Germany),800,20-34,https://utmb.world/en/runner/3323405.tobias.fritz,Tobias FRITZ
Jor Martin,260,🇨🇿 (Czech Republic),719,35-39,https://utmb.world/en/runner/1445039.martin.jor,Martin JOR
Antmann Rene,203,🇦🇹 (Austria),717,20-34,https://utmb.world/en/runner/1392927.rene.antmann,Rene ANTMANN
Mielke Marian,286,🇩🇪 (Germany),711,35-39,https://utmb.world/en/runner/1552983.marian.mielke,Marian MIELKE
Morass Paul,288,🇦🇹 (Austria),708,20-34,https://utmb.world/en/runner/4460792.paul.morass,Paul MORASS
Gehrer Andreas,336,🇦🇹 (Austria),698,40-44,https://utmb.world/en/runner/2567683.andreas.gehrer,Andreas GEHRER
Loy Maximilian,332,🇦🇹 (Austria),694,40-44,https://utmb.world/en/runner/911863.maximilian.loy,Maximilian LOY
Mihalcut Valentin,287,🇷🇴 (Romania),694,20-34,https://utmb.world/en/runner/2124377.valentin.mihalcut,Valentin MIHALCUT
Brugger Benjamin,220,🇦🇹 (Austria),692,35-39,https://utmb.world/en/runner/876159.benjamin.brugger,Benjamin BRUGGER
Nischler Benjamin,291,🇮🇹 (Italy),686,35-39,https://utmb.world/en/runner/1552069.benjamin.nischler,Benjamin NISCHLER
Wölfl Lukas,323,🇩🇪 (Germany),681,35-39,https://utmb.world/en/runner/4184754.markus.wolff,Markus WOLFF
Ortner Mario,294,🇦🇹 (Austria),676,35-39,https://utmb.world/en/runner/193491.mario.ortner,Mario ORTNER
Fischer Marian,237,🇩🇪 (Germany),674,20-34,https://utmb.world/en/runner/4460810.marian.fischer,Marian FISCHER
Kirk Peter,334,🇬🇧 (United Kingdom),671,40-44,https://utmb.world/en/runner/1996205.peter.kirk,Peter KIRK
Pittschieler Gerhard,296,🇮🇹 (Italy),668,45-49,https://utmb.world/en/runner/806406.gerhard.pittschieler,Gerhard PITTSCHIELER
Issig Matthias,257,🇦🇹 (Austria),665,35-39,https://utmb.world/en/runner/506871.matthias.issig,Matthias ISSIG
Schweiger Sebastian,340,🇩🇪 (Germany),654,35-39,https://utmb.world/en/runner/1996403.sebastian.schweiger,Sebastian SCHWEIGER
Ley Jürgen,339,🇩🇪 (Germany),645,50-54,https://utmb.world/en/runner/193796.jurgen.ley,Jürgen LEY
Oberlader Fabian,292,🇦🇹 (Austria),606,20-34,https://utmb.world/en/runner/2567879.fabian.oberlader,Fabian OBERLADER
Bryham Chad,221,🇦🇺 (Australia),599,20-34,https://utmb.world/en/runner/4828768.chad.bryham,Chad BRYHAM
Schwingel Fabian,307,🇩🇪 (Germany),598,35-39,https://utmb.world/en/runner/4668762.fabian.schwingel,Fabian SCHWINGEL
Kambugu Hermann,261,🇺🇬 (Uganda),587,35-39,https://utmb.world/en/runner/4674389.hermann.kambugu,Hermann KAMBUGU
Denninger Jens,225,🇩🇪 (Germany),582,35-39,https://utmb.world/en/runner/1554481.sven.denkinger,Sven DENKINGER
Isermann Tim,256,🇩🇪 (Germany),580,50-54,https://utmb.world/en/runner/690203.marc.eisermann,Marc EISERMANN
Leiter Michael,326,🇦🇹 (Austria),571,45-49,https://utmb.world/en/runner/3733541.michael.leiter,Michael LEITER
Leiter Stefan,337,🇮🇹 (Italy),566,20-34,https://utmb.world/en/runner/4461950.stefan.leiter,Stefan LEITER
Meyer Benjamin,285,🇦🇹 (Austria),566,35-39,https://utmb.world/en/runner/4015905.benjamin.meyer,Benjamin MEYER
Ferro Daniele,234,🇮🇹 (Italy),564,40-44,https://utmb.world/en/runner/1031739.daniele.ferro,Daniele FERRO
Lenhof Torsten,278,🇩🇪 (Germany),563,35-39,https://utmb.world/en/runner/5234316.torsten.lenhof,Torsten LENHOF
Javorský Tomáš,259,🇸🇰 (Slovakia),562,20-34,https://utmb.world/en/runner/4731578.tomas.javorsky,Tomáš JAVORSKÝ
Braun Joscha,217,🇦🇹 (Austria),561,20-34,https://utmb.world/en/runner/2131933.joscha.braun,Joscha BRAUN
