name,bib,flag,utmb_index,utmb_agegroup,utmb_uri,utmb_name
Hirokazu NISHIMURA,3174,🇯🇵,841,40-44,https://utmb.world/en/runner/36506.hirokazu.nishimura,Hirokazu NISHIMURA
Florian REICHERT,3129,🇩🇪,839,40-44,https://utmb.world/en/runner/279430.florian.reichert,Florian REICHERT
Raphael SPRENGER,3280,🇨🇭,839,35-39,https://utmb.world/en/runner/722064.raphael.sprenger,Raphael SPRENGER
Alejandro MAYOR,3093,🇪🇸,838,20-34,https://utmb.world/en/runner/957599.alejandro.mayor,Alejandro MAYOR
Caleb OLSON,3305,🇺🇸,838,20-34,https://utmb.world/en/runner/2574519.caleb.olson,Caleb OLSON
Yuya KAWASAKI,3173,🇯🇵,837,35-39,https://utmb.world/en/runner/1259095.yuya.kawasaki,Yuya KAWASAKI
Yamato YOSHINO,3177,🇯🇵,835,20-34,https://utmb.world/en/runner/1687565.yamato.yoshino,Yamato YOSHINO
Alexander HUTTER,3026,🇦🇹,832,20-34,https://utmb.world/en/runner/3034591.alexander.hutter,Alexander HUTTER
Kamil LEŚNIAK,3247,🇵🇱,832,20-34,https://utmb.world/en/runner/107261.kamil.lesniak,Kamil LESNIAK
Didrik Grytbak HERMANSEN,3225,🇳🇴,830,40-44,https://utmb.world/en/runner/4822914.didrikgrytbak.hermansen,Didrik-Grytbak HERMANSEN
Hiroki KAI,3172,🇯🇵,830,20-34,https://utmb.world/en/runner/4511652.kai.hiroki,Kai HIROKI
Pedro BARROS,3252,🇵🇹,830,20-34,https://utmb.world/en/runner/1396815.pedro.barros,Pedro BARROS
Carlos FERREIRA,3253,🇵🇹,829,35-39,https://utmb.world/en/runner/803678.carlos.costaferreira,Carlos COSTA FERREIRA
Célio ROSA,3036,🇧🇷,827,45-49,https://utmb.world/en/runner/395551.celio.augustorosa,Celio AUGUSTO ROSA
Tomasz SKUPIEŃ,3248,🇵🇱,827,35-39,https://utmb.world/en/runner/2630673.tomasz.skupien,Tomasz SKUPIEN
Koken OGASAWARA,3175,🇯🇵,826,20-34,https://utmb.world/en/runner/2617243.kouken.ogasawara,Kouken OGASAWARA
Mads Flensted LOURING,3078,🇩🇰,826,20-34,https://utmb.world/en/runner/2651253.mads.louring,Mads LOURING
Manuel BONARDI,3161,🇮🇹,822,35-39,https://utmb.world/en/runner/2693407.manuel.bonardi,Manuel BONARDI
Janez KLANČNIK,3270,🇸🇮,821,35-39,https://utmb.world/en/runner/2565289.janez.klancnik,Janez KLANCNIK
Owen DAVIES,3116,🇬🇧,821,35-39,https://utmb.world/en/runner/1998259.owen.davies,Owen DAVIES
Pawel CZERNIAK,3246,🇵🇱,821,35-39,https://utmb.world/en/runner/993587.pawel.czerniak,Pawel CZERNIAK
Daniel CLAASSEN,3267,🇿🇦,819,20-34,https://utmb.world/en/runner/2514861.daniel.claassen,Daniël CLAASSEN
Simon DESVAUX DE MARIGNY,3219,🇲🇺,818,40-44,https://utmb.world/en/runner/103657.simon.desvaux,Simon DESVAUX
Christian MEIER,3040,🇨🇦,817,35-39,https://utmb.world/en/runner/4119496.christian.meier,Christian MEIER
Matic ČAČULOVIČ,3269,🇸🇮,816,20-34,https://utmb.world/en/runner/1629977.matic.caculovic,Matic CACULOVIC
Bruno SOUSA,3256,🇵🇹,815,40-44,https://utmb.world/en/runner/406411.bruno.sousa,Bruno SOUSA
Artūrs VADZIS,3191,🇱🇻,813,20-34,https://utmb.world/en/runner/150837.arturs.vadzis,Arturs VADZIS
Christian STERN,3028,🇦🇹,811,40-44,https://utmb.world/en/runner/2531659.christian.stern,Christian STERN
Galen REYNOLDS,3042,🇨🇦,807,35-39,https://utmb.world/en/runner/207671.galen.reynolds,Galen REYNOLDS
Ho Chung WONG,3139,🇭🇰,806,35-39,https://utmb.world/en/runner/264825.hochung.wong,Ho Chung WONG
Adrian NISKI,3128,🇩🇪,805,20-34,https://utmb.world/en/runner/699240.adrian.niski,Adrian NISKI
Nelson SANTOS,3255,🇵🇹,804,45-49,https://utmb.world/en/runner/1264523.nelson.santos,Nelson SANTOS
Jean-Philippe THIBODEAU,3043,🇨🇦,803,20-34,https://utmb.world/en/runner/857575.jeanphilippe.thibodeau,Jean-Philippe THIBODEAU
Milton AMAT,3206,🇲🇾,803,40-44,https://utmb.world/en/runner/1120831.milton.amat,Milton AMAT
Florian GRASEL,3024,🇦🇹,802,40-44,https://utmb.world/en/runner/171539.florian.grasel,Florian GRASEL
Jose NIETO,3214,🇲🇽,801,45-49,https://utmb.world/en/runner/4389524.joseluis.nietosalgado,José Luis NIETO SALGADO
Alexander DAUTEL,3126,🇩🇪,793,35-39,https://utmb.world/en/runner/970187.alexander.dautel,Alexander DAUTEL
Arnie MACAÑERAS,3241,🇵🇭,792,20-34,https://utmb.world/en/runner/2482745.arnie.macaneras,Arnie MACANERAS
Snorri BJÖRNSSON,3155,🇮🇸,786,20-34,https://utmb.world/en/runner/3184751.snorri.bjornsson,Snorri BJÖRNSSON
Brandon MILLER,3041,🇨🇦,784,20-34,https://utmb.world/en/runner/1577233.brandon.miller,Brandon MILLER
Slovak IANCO,3263,🇷🇴,784,20-34,https://utmb.world/en/runner/1862221.ianco.slovak,Ianco SLOVAK
Luciano PILATTI,3006,🇦🇷,782,20-34,https://utmb.world/en/runner/477704.luciano.pilatti,Luciano PILATTI
Maximiliano VAZQUEZ,3300,🇺🇾,781,20-34,https://utmb.world/en/runner/2211531.maximiliano.vazquez,Maximiliano VAZQUEZ
David JEKER,3039,🇨🇦,779,35-39,https://utmb.world/en/runner/491785.david.jeker,David JEKER
Nigel HILL,3016,🇦🇺,779,40-44,https://utmb.world/en/runner/1455639.nigel.hill,Nigel HILL
Aasmund Kjøllmoen STEIEN,3226,🇳🇴,778,20-34,https://utmb.world/en/runner/3985516.aasmund.kjollmoensteien,Aasmund KJØLLMOEN STEIEN
Alberto GONZALEZ ACUÑA,3299,🇺🇾,777,20-34,https://utmb.world/en/runner/1913161.alberto.gonzalez,Alberto GONZALEZ
Christiaan GREYLING,3268,🇿🇦,777,35-39,https://utmb.world/en/runner/257409.christiaan.greyling,Christiaan GREYLING
Mario WEISS,3029,🇦🇹,776,40-44,https://utmb.world/en/runner/1008471.mario.weiss,Mario WEISS
Gavin BYRNE,3148,🇮🇪,773,35-39,https://utmb.world/en/runner/1070577.gavin.byrne,Gavin BYRNE
Pēteris GRĪVIŅŠ,3189,🇱🇻,771,35-39,https://utmb.world/en/runner/394043.peteris.grivins,Peteris GRIVINS
