name,bib,flag,utmb_index,utmb_agegroup,utmb_uri,utmb_name
Kirk Christina,335,🇦🇹 (Austria),591,20-34,https://utmb.world/en/runner/2121029.christina.kohl,Christina KOHL
Lang Nina,272,🇦🇹 (Austria),581,35-39,https://utmb.world/en/runner/4193991.nina.lang,Nina LANG
Scrinzi Ivonne,308,🇮🇹 (Italy),578,55-59,https://utmb.world/en/runner/292442.ivonne.scrinzi,Ivonne SCRINZI
Volm Tanja,315,🇩🇪 (Germany),569,55-59,https://utmb.world/en/runner/3975075.tanja.volm,Tanja VOLM
Anderl Valerie,202,🇩🇪 (Germany),561,20-34,https://utmb.world/en/runner/4470973.valerie.anderl,Valerie ANDERL
Rohlfs Chiara,301,🇩🇪 (Germany),522,20-34,https://utmb.world/en/runner/5035646.chiara.rohlfs,Chiara ROHLFS
Welling Catrin,318,🇩🇪 (Germany),501,40-44,https://utmb.world/en/runner/4460910.catrin.welling,Catrin WELLING
Schöpf Eva-Maria,328,🇦🇹 (Austria),500,20-34,https://utmb.world/en/runner/2567747.evamaria.schopf,Eva-Maria SCHÖPF
Sprenger Franziska,310,🇩🇪 (Germany),489,40-44,https://utmb.world/en/runner/4925678.franziska.sprenger,Franziska SPRENGER
Brandstetter Helga,216,🇦🇹 (Austria),473,35-39,https://utmb.world/en/runner/5064841.helga.brandstetter,Helga BRANDSTETTER
Gropper Silvia,246,🇩🇪 (Germany),470,55-59,https://utmb.world/en/runner/5022118.silvia.gropper,Silvia GROPPER
Haid Franziska,329,🇦🇹 (Austria),466,20-34,https://utmb.world/en/runner/4662050.franziska.haid,Franziska HAID
Denninger Isabella,226,🇩🇪 (Germany),462,20-34,https://utmb.world/en/runner/4494322.ines.wenninger,Ines WENNINGER
Lösch Karin,343,🇩🇪 (Germany),457,45-49,https://utmb.world/en/runner/5306602.karin.losch,Karin LÖSCH
Lacher Regula,271,🇨🇭 (Switzerland),456,60-64,https://utmb.world/en/runner/20633.regula.lacher,Regula LACHER
Greshake Britta,245,🇩🇪 (Germany),455,20-34,https://utmb.world/en/runner/2671095.britta.greshake,Britta GRESHAKE
Akkermans Kristel,201,🇳🇱 (Netherlands),454,35-39,https://utmb.world/en/runner/4198415.digna.akkermans,Digna AKKERMANS
Panis Bianca,295,🇳🇱 (Netherlands),452,45-49,https://utmb.world/en/runner/1450159.bianca.panis,Bianca PANIS
Decker Karina,224,🇩🇪 (Germany),431,40-44,https://utmb.world/en/runner/4461688.karina.decker,Karina DECKER
Weber Sylvie,316,🇫🇷 (France),431,55-59,https://utmb.world/en/runner/1950289.sylvie.weber,Sylvie WEBER
Turan Anne,312,🇩🇪 (Germany),426,50-54,https://utmb.world/en/runner/5234372.christine.duran,Christine DURAN
Jakowatz Claudia,258,🇩🇪 (Germany),425,55-59,https://utmb.world/en/runner/4084276.claudia.jakowatz,Claudia JAKOWATZ
Lehmann Catharina,277,🇦🇹 (Austria),397,20-34,https://utmb.world/en/runner/4925694.catharina.lehmann,Catharina LEHMANN
Doctor Heidi,227,🇩🇪 (Germany),394,50-54,https://utmb.world/en/runner/5329128.heidi.doctor,Heidi DOCTOR
Opers Ulrike,293,🇩🇪 (Germany),393,45-49,https://utmb.world/en/runner/5329130.ulrike.opers,Ulrike OPERS
Gräbedünkel Jana,243,🇩🇪 (Germany),392,40-44,https://utmb.world/en/runner/5327492.jana.grabedunkel,Jana GRÄBEDÜNKEL
Wolfinger Sabine,322,🇩🇪 (Germany),382,55-59,https://utmb.world/en/runner/46377.sabine.wolfinger,Sabine WOLFINGER
Feiereisen Diane,233,🇱🇺 (Luxembourg),0,40-44,https://utmb.world/en/runner/544676.diane.feiereisen,Diane FEIEREISEN
Grünbacher Antonia,247,🇦🇹 (Austria),0,,,
Hanser Kathrin R.,248,🇦🇹 (Austria),0,,,
Langeder Julia,273,🇩🇪 (Germany),0,,,
Rauchberger Katjs,297,🇦🇹 (Austria),0,40-44,https://utmb.world/en/runner/1576563.elisabeth.naschberger,Elisabeth NASCHBERGER
