name,bib,flag,utmb_index,utmb_agegroup,utmb_uri,utmb_name
Roberto BAIÃO,2273,🇵🇹 (Portugal),855,20-34,https://utmb.world/en/runner/1729225.roberto.baiao,Roberto BAIÃO
Sebastian FALKENSTEINER,2024,🇦🇹 (Austria),855,20-34,https://utmb.world/en/runner/1008399.sebastian.falkensteiner,Sebastian FALKENSTEINER
Dário MOITOSO,2275,🇵🇹 (Portugal),853,20-34,https://utmb.world/en/runner/887761.dario.moitoso,Dario MOITOSO
Arnar PÉTURSSON,2182,🇮🇸 (Iceland),851,20-34,https://utmb.world/en/runner/2125287.arnar.petursson,Arnar PETURSSON
Rafał MATUSZCZAK,2268,🇵🇱 (Poland),848,20-34,https://utmb.world/en/runner/5052202.rafal.matuszczak,Rafal MATUSZCZAK
Koji MORIMOTO,2201,🇯🇵 (Japan),846,40-44,https://utmb.world/en/runner/558587.koji.morimoto,Koji MORIMOTO
Tobias BAGGENSTOS,2305,🇨🇭 (Switzerland),846,20-34,https://utmb.world/en/runner/3964257.tobias.baggenstos,Tobias BAGGENSTOS
Fabio RUGA,2194,🇮🇹 (Italy),845,40-44,https://utmb.world/en/runner/345343.fabio.ruga,Fabio RUGA
Chris BALESTRINI,2049,🇨🇦 (Canada),844,20-34,https://utmb.world/en/runner/4595338.chris.balestrini,Chris BALESTRINI
Kane REILLY,2293,🇿🇦 (South Africa),844,20-34,https://utmb.world/en/runner/156157.kane.reilly,Kane REILLY
Tiago VIEIRA,2277,🇵🇹 (Portugal),844,20-34,https://utmb.world/en/runner/5137526.tiago.vieira,Tiago VIEIRA
Tomas HUDEC,2084,🇨🇿 (Czech Republic),844,20-34,https://utmb.world/en/runner/1389341.tomas.hudec,Tomas HUDEC
Jackson BRILL,2346,🇺🇸 (United States),841,20-34,https://utmb.world/en/runner/1080851.jackson.brill,Jackson BRILL
Andreas RIEDER,2028,🇦🇹 (Austria),839,35-39,https://utmb.world/en/runner/3034585.andreas.rieder,Andreas RIEDER
Joshua POTVIN,2053,🇨🇦 (Canada),836,20-34,https://utmb.world/en/runner/4636106.joshua.potvin,Joshua POTVIN
Michał RAJCA,2269,🇵🇱 (Poland),836,20-34,https://utmb.world/en/runner/1100943.michal.rajca,Michal RAJCA
António ALMEIDA,2272,🇵🇹 (Portugal),835,40-44,https://utmb.world/en/runner/2578973.antonio.almeida,António ALMEIDA
Ruedi BECKER,2306,🇨🇭 (Switzerland),835,35-39,https://utmb.world/en/runner/342838.ruedi.becker,Ruedi BECKER
Tuomas KARI,2117,🇫🇮 (Finland),828,40-44,https://utmb.world/en/runner/3513757.tuomas.kari,Tuomas KARI
