name,bib,flag,utmb_index,utmb_agegroup,utmb_uri,utmb_name
Sharon TAYLOR,2145,🇬🇧,706,40-44,https://utmb.world/en/runner/3360241.sharon.taylor,Sharon TAYLOR
Nina ZOLLER,2315,🇨🇭,705,35-39,https://utmb.world/en/runner/100120.nina.zoller,Nina ZOLLER
Inês JOÃO,2281,🇵🇹,704,40-44,https://utmb.world/en/runner/2585231.brigidaines.joao,Brígida Inês JOÃO
Kellie ANGEL,2018,🇦🇺,703,35-39,https://utmb.world/en/runner/4455628.kellie.angel,Kellie ANGEL
Ainara URRUTIA,2115,🇪🇸,701,40-44,https://utmb.world/en/runner/4016640.ainara.urrutiayurrebaso,Ainara URRUTIA YURREBASO
Cristina ARREIOL,2279,🇵🇹,701,20-34,https://utmb.world/en/runner/3457513.cristina.arreiol,Cristina ARREIOL
Suzuha KUSUDA,2203,🇯🇵,701,20-34,https://utmb.world/en/runner/2381273.suzuha.kusuda,Suzuha KUSUDA
Chiara GIOVANDO,2200,🇮🇹,700,40-44,https://utmb.world/en/runner/1738785.chiara.giovando,Chiara GIOVANDO
Kalie MCCRYSTAL,2058,🇨🇦,699,35-39,https://utmb.world/en/runner/4275869.kalie.mccrystal,Kalie MCCRYSTAL
Greyling LANDIE,2295,🇿🇦,695,35-39,https://utmb.world/en/runner/156171.landie.greyling,Landie GREYLING
Ercília MACHADO,2282,🇵🇹,692,35-39,https://utmb.world/en/runner/1748669.ercilia.machado,Ercilia MACHADO
Isabell BICHLER,2030,🇦🇹,691,20-34,https://utmb.world/en/runner/3035173.isabell.bichler,Isabell BICHLER
Sarah KISTNER,2152,🇩🇪,687,20-34,https://utmb.world/en/runner/2593427.sarah.kistner,Sarah KISTNER
Dioni GORLA,2150,🇩🇪,684,20-34,https://utmb.world/en/runner/3337065.dioni.gorla,Dioni GORLA
Melodie GILBERT,2056,🇨🇦,684,20-34,https://utmb.world/en/runner/4204895.melodie.gilbert,Melodie GILBERT
Vanda JENEJOVÁ,2319,🇸🇰,681,20-34,https://utmb.world/en/runner/803634.vanda.jenejova,Vanda JENEJOVA
