name,bib,flag,utmb_index,utmb_agegroup,utmb_uri,utmb_name
Toma VALEIKAITE,3205,🇱🇹 (Lithuania),549,35-39,https://utmb.world/en/runner/2998777.toma.valeikaite,Toma VALEIKAITE
Maria Emilia CRESPO BARAHONA,3085,🇪🇨 (Ecuador),548,20-34,https://utmb.world/en/runner/2441331.mariaemilia.crespo,Maria Emilia CRESPO
Anita LACKOVIC,3071,🇭🇷 (Croatia),547,40-44,https://utmb.world/en/runner/1343383.anita.lackovic,Anita LACKOVIC
Cecille WAEL,3245,🇵🇭 (Philippines),542,35-39,https://utmb.world/en/runner/1929361.cecille.wael,Cecille WAEL
Pamela ANGEL,3056,🇨🇱 (Chile),538,20-34,https://utmb.world/en/runner/4744902.pamela.angelmancilla,Pamela ÁNGEL MANCILLA (Pamela ANGEL MANCILLA)
Ieva UPMACE-GRĪVIŅA,3195,🇱🇻 (Latvia),537,35-39,https://utmb.world/en/runner/1603895.ieva.upmacegrivina,Ieva UPMACE-GRIVINA
Maria VALLEJO SALGADO,3088,🇪🇨 (Ecuador),534,20-34,https://utmb.world/en/runner/548726.maria.vallejo,Maria VALLEJO
Mei Sze CHONG,3209,🇲🇾 (Malaysia),532,40-44,https://utmb.world/en/runner/3510495.meisze.chong,Mei Sze CHONG
Eveling Violeta ALARCON,3238,🇵🇾 (Paraguay),528,20-34,https://utmb.world/en/runner/2982907.eveling.alarcon,Eveling ALARCON
Deimante RAZUKIENE,3203,🇱🇹 (Lithuania),521,40-44,https://utmb.world/en/runner/1769755.deimante.razukiene,Deimante RAZUKIENE
Agustoralin SABANAL,3244,🇵🇭 (Philippines),517,20-34,https://utmb.world/en/runner/1829765.agustoralin.sabanal,Agustoralin SABANAL
Halldóra Huld INGVARSDÓTTIR,3157,🇮🇸 (Iceland),514,35-39,https://utmb.world/en/runner/4446214.halldorahuld.ingvarsdottir,Halldóra Huld INGVARSDÓTTIR
Lina PRANYTE,3202,🇱🇹 (Lithuania),491,35-39,https://utmb.world/en/runner/4308337.lina.pranyte,Lina PRANYTE
Maria SOTELO,3239,🇵🇾 (Paraguay),477,20-34,https://utmb.world/en/runner/1468953.mariajose.sotelomorinigo,María José SOTELO MORÍNIGO
Sanglim LEE,3187,🇰🇷 (South Korea),380,55-59,https://utmb.world/en/runner/672784.sanglim.lee,Sanglim LEE
Belen BENJAMIN,3217,🇲🇽 (Mexico),0,,,
Blandine L'HIRONDEL,3113,🇫🇷 (France),0,,,
Elisabeth BORGERSEN,3228,🇳🇴 (Norway),0,,,
Eulalia Margarita PAUCAR QUEZADA,3086,🇪🇨 (Ecuador),0,,,
Giovanna RODRIGUES COSTA MARTINS,3037,🇧🇷 (Brazil),0,,,
Hsuan-Yu CHEN,3290,🇹🇼 (Taiwan),0,20-34,https://utmb.world/en/runner/1425395.hsuanyu.chen,Hsuan-Yu CHEN
Jade BELZBERG,3045,🇨🇦 (Canada),0,,,
Katharina HARTMUTH,3131,🇩🇪 (Germany),0,,,
Kathrin GÖTZ,3282,🇨🇭 (Switzerland),0,,,
Katja KEGL VENCELJ,3273,🇸🇮 (Slovenia),0,35-39,https://utmb.world/en/runner/1852291.katja.keglvencelj,Katja KEGL VENCELJ
Ling-Chun CHOU,3291,🇹🇼 (Taiwan),0,50-54,https://utmb.world/en/runner/310872.lingchun.chou,Ling-Chun CHOU
Lucinda BARTHOLOMEW,3018,🇦🇺 (Australia),0,,,
Marie-Luise MÜHLHUBER,3133,🇩🇪 (Germany),0,40-44,https://utmb.world/en/runner/3615191.marieluise.muhlhuber,Marie-Luise MÜHLHUBER
María Luciana URIOSTE CORREA,3011,🇦🇷 (Argentina),0,,,
Patricia GONZÁLEZ,3058,🇨🇱 (Chile),0,35-39,https://utmb.world/en/runner/2653573.patricia.gonzalezarriagada,Patricia GONZALEZ ARRIAGADA
Rebecca QUINN,3154,🇮🇪 (Ireland),0,45-49,https://utmb.world/en/runner/2330559.rebecca.quinn,Rebecca QUINN
Rosa María LARA,3097,🇪🇸 (Spain),0,,,
Seola JUNG,3185,🇰🇷 (South Korea),0,,,
Therese Dahl ÅRVIK,3227,🇳🇴 (Norway),0,,,
Veronika JURIŠIĆ,3070,🇭🇷 (Croatia),0,45-49,https://utmb.world/en/runner/86141.veronika.jurisic,Veronika JURISIC
Yvonne KEIL,3032,🇦🇹 (Austria),0,,,
