name,bib,flag,utmb_index,utmb_agegroup,utmb_uri,utmb_name
William Ricardo AVEIRO,1171,🇵🇾,741,20-34,https://utmb.world/en/runner/2640849.william.aveiro,William AVEIRO
Edgars DAUGULIS,1134,🇱🇻,739,20-34,https://utmb.world/en/runner/4374552.edgars.daugulis,Edgars DAUGULIS
Eduardo HERNÁNDEZ,1070,🇪🇸,738,U20,https://utmb.world/en/runner/5092128.eduardo.hernandezbenito,Eduardo HERNANDEZ BENITO
Nikola ŠPOLJAR,1045,🇭🇷,737,20-34,https://utmb.world/en/runner/673125.nikola.spoljar,Nikola SPOLJAR
Marcelo GONÇALVES,1179,🇵🇹,729,20-34,https://utmb.world/en/runner/4635328.marcelo.goncalves,Marcelo GONÇALVES
Georgi ZHEKOV,1026,🇧🇬,727,20-34,https://utmb.world/en/runner/4754440.georgi.zhekov,Georgi ZHEKOV
Roberto PAZZAGLIA,1203,🇸🇲,695,50-54,https://utmb.world/en/runner/476040.roberto.pazzaglia,Roberto PAZZAGLIA
Frank Dariel CASTRO PERÚ,1051,🇨🇺,688,20-34,https://utmb.world/en/runner/4466592.frank.castro,Frank CASTRO
Sebastien LECLERE,1024,🇧🇪,675,35-39,https://utmb.world/en/runner/2498981.sebastien.leclere,Sébastien LECLÈRE
Martín SCHURCH,1039,🇨🇱,656,U20,https://utmb.world/en/runner/3728809.martin.schurch,Martin SCHURCH
Ante ŽIVKOVIĆ,1046,🇭🇷,647,20-34,https://utmb.world/en/runner/1992659.ante.zivkovic,Ante ZIVKOVIC
Thabang MADIBA,1190,🇿🇦,613,20-34,https://utmb.world/en/runner/4884646.thabang.madiba,Thabang MADIBA
Paulo GOMES,1178,🇵🇹,600,40-44,https://utmb.world/en/runner/4947408.paulo.gomes,Paulo GOMES
Stefano BENVENUTI,1201,🇸🇲,594,35-39,https://utmb.world/en/runner/4434980.stefano.benvenuti,Stefano BENVENUTI
Wei-Ting CHEN,1218,🇹🇼,506,35-39,https://utmb.world/en/runner/1049959.weiting.chen,Wei-Ting CHEN
José CARVALHO,1177,🇵🇹,472,55-59,https://utmb.world/en/runner/1055535.jose.carvalho,Jose CARVALHO
Alastair GEORGE,1008,🇦🇺,383,40-44,https://utmb.world/en/runner/2076085.alasdair.george,Alasdair GEORGE
Manuel SANTIAGO,1147,🇲🇽,312,20-34,https://utmb.world/en/runner/3570857.manuel.santiago,Manuel SANTIAGO
Aaron MCGRADY,1109,🇮🇪,0,,,
Alexandre RICARD,1032,🇨🇦,0,35-39,https://utmb.world/en/runner/871667.alexandre.ricard,Alexandre RICARD
Ammarith ANN,1027,🇰🇭,0,,,
Andrejs DMITRIJEVS,1135,🇱🇻,0,,,
Augusto Geovanny ANDRADE PAGUAY,1060,🇪🇨,0,,,
Cameron MCNAMARA,1031,🇨🇦,0,,,
Cristóbal STACK,1040,🇨🇱,0,,,
Dan CURTS,1230,🇺🇸,0,,,
Diego Ignacio DIAZ,1037,🇨🇱,0,20-34,https://utmb.world/en/runner/2337017.diegoignacio.diazinostroza,Diego Ignacio DÍAZ INOSTROZA
Dismas YEKO,1226,🇺🇬,0,,,
Eliud CHEROP,1224,🇺🇬,0,,,
Elmir ASKAROV,1023,🇦🇿,0,,,
Erenjia JIA,1043,🇨🇳,0,20-34,https://utmb.world/en/runner/990115.erenjia.jia,Erenjia JIA
Fabian AEBERSOLD,1205,🇨🇭,0,,,
Farrell HEDRICK,1028,🇰🇭,0,,,
Filimon ABRAHAM,1093,🇩🇪,0,,,
Florian ZEISLER,1018,🇦🇹,0,40-44,https://utmb.world/en/runner/2594013.florian.zeisler,Florian ZEISLER
Gabriel MUÑOZ,1038,🇨🇱,0,20-34,https://utmb.world/en/runner/3789935.victorgabriel.munozgutierrez,Victor Gabriel MUÑOZ GUTIERREZ
Gareth HADFIELD,1029,🇨🇦,0,20-34,https://utmb.world/en/runner/2330461.gareth.hadfield,Gareth HADFIELD
Halfdan-Emil FÆRØ,1159,🇳🇴,0,,,
Harald KÅRBÖ,1160,🇳🇴,0,,,
Hillary KIMAIYO,1126,🇰🇪,0,,,
Hsin-Kai SU,1219,🇹🇼,0,,,
Ibai LARREA,1071,🇪🇸,0,20-34,https://utmb.world/en/runner/4954205.ibai.larrea,Ibai LARREA
Ivan DRAČAR,1044,🇭🇷,0,,,
Jake FENECH,1151,🇲🇹,0,,,
Javier Adolfo CARRIQUEO,1002,🇦🇷,0,,,
Jeremy HUNT,1009,🇦🇺,0,,,
