name,bib,flag,utmb_index,utmb_agegroup,utmb_uri,utmb_name
Timothy JOHNSTON,4109,🇮🇪,765,20-34,https://utmb.world/en/runner/4635324.timothy.johnston,Timothy JOHNSTON
Simon SPITERI,4155,🇲🇹,762,20-34,https://utmb.world/en/runner/2330563.simon.spiteri,Simon SPITERI
Llewellyn GROENEVELD,4194,🇿🇦,760,20-34,https://utmb.world/en/runner/2501063.llewellyn.groeneveld,Llewellyn GROENEVELD
Isacco COSTA,4119,🇮🇹,748,20-34,https://utmb.world/en/runner/2586005.isacco.costa,Isacco COSTA
James KEVAN,4110,🇮🇪,741,35-39,https://utmb.world/en/runner/2595031.james.kevan,James KEVAN
William Ricardo AVEIRO,4174,🇵🇾,741,20-34,https://utmb.world/en/runner/2640849.william.aveiro,William AVEIRO
Edgars DAUGULIS,4138,🇱🇻,739,20-34,https://utmb.world/en/runner/4374552.edgars.daugulis,Edgars DAUGULIS
Eduardo HERNÁNDEZ,4067,🇪🇸,738,U20,https://utmb.world/en/runner/5092128.eduardo.hernandezbenito,Eduardo HERNANDEZ BENITO
Eduardo PESTANA,4185,🇵🇹,730,20-34,https://utmb.world/en/runner/4027758.pestana.eduardo,Pestana EDUARDO
Georgi ZHEKOV,4025,🇧🇬,727,20-34,https://utmb.world/en/runner/4754440.georgi.zhekov,Georgi ZHEKOV
Frank Dariel CASTRO PERÚ,4048,🇨🇺,688,20-34,https://utmb.world/en/runner/4466592.frank.castro,Frank CASTRO
Darío CAMPOS,4036,🇨🇱,658,20-34,https://utmb.world/en/runner/4936694.dariorafael.camposvidal,Darío Rafael CAMPOS VIDAL
Cristian Ariel ARANDA,4173,🇵🇾,635,20-34,https://utmb.world/en/runner/2132279.cristian.aranda,Cristian ARANDA
Gediminas VILIUNAS,4146,🇱🇹,621,20-34,https://utmb.world/en/runner/1472137.gediminas.viliunas,Gediminas VILIŪNAS
Donatas JOCIUS,4144,🇱🇹,618,35-39,https://utmb.world/en/runner/2967727.donatas.jocius,Donatas JOCIUS
Paulo MACEDO,4184,🇵🇹,563,40-44,https://utmb.world/en/runner/3706677.paulo.macedo,Paulo MACEDO
Oliver Horst KROLL,4175,🇵🇾,475,45-49,https://utmb.world/en/runner/3180775.oliverhorst.krollfichter,Oliver Horst KROLL FICHTER
Alexandre RICARD,4031,🇨🇦,0,35-39,https://utmb.world/en/runner/871667.alexandre.ricard,Alexandre RICARD
Alvaro Mauricio CARRANZA OLIVO,1062,🇪🇨,0,40-44,https://utmb.world/en/runner/5198516.alvaromauricio.carranzaolivo,Alvaro Mauricio CARRANZA OLIVO
Alvaro Mauricio CARRANZA OLIVO,4059,🇪🇨,0,40-44,https://utmb.world/en/runner/5198516.alvaromauricio.carranzaolivo,Alvaro Mauricio CARRANZA OLIVO
Ammarith ANN,4026,🇰🇭,0,,,
Andrejs DMITRIJEVS,4139,🇱🇻,0,,,
Andy GOOD,4166,🇳🇿,0,35-39,https://utmb.world/en/runner/1284905.andy.good,Andy GOOD
Augusto Geovanny ANDRADE PAGUAY,4057,🇪🇨,0,,,
Brian Rubén BURGOS,4002,🇦🇷,0,,,
Dan CURTS,4236,🇺🇸,0,,,
David Alexander NIEVA,4005,🇦🇷,0,,,
Diego Ignacio DIAZ,4038,🇨🇱,0,20-34,https://utmb.world/en/runner/2337017.diegoignacio.diazinostroza,Diego Ignacio DÍAZ INOSTROZA
Dismas YEKO,4228,🇺🇬,0,,,
Eliud CHEROP,4226,🇺🇬,0,,,
Elmir ASKAROV,4021,🇦🇿,0,,,
Eoin LENNON,4111,🇮🇪,0,35-39,https://utmb.world/en/runner/278679.eoin.lennon,Eoin LENNON
Erenjia JIA,4045,🇨🇳,0,20-34,https://utmb.world/en/runner/990115.erenjia.jia,Erenjia JIA
Ewan SHINGLER,4013,🇦🇺,0,,,
Ezequiel Antonio LOPEZ,4004,🇦🇷,0,,,
Fabian AEBERSOLD,4213,🇨🇭,0,,,
Farrell HEDRICK,4027,🇰🇭,0,,,
Filimon ABRAHAM,4094,🇩🇪,0,,,
Finlay GRANT,4086,🇬🇧,0,20-34,https://utmb.world/en/runner/5004655.finlay.grant,Finlay GRANT
Gabriel MUÑOZ,4039,🇨🇱,0,20-34,https://utmb.world/en/runner/3789935.victorgabriel.munozgutierrez,Victor Gabriel MUÑOZ GUTIERREZ
Haim MALKA,4117,🇮🇱,0,50-54,https://utmb.world/en/runner/2330509.haim.malka,Haim MALKA
Halfdan-Emil FÆRØ,4160,🇳🇴,0,,,
Harald KÅRBÖ,4161,🇳🇴,0,,,
Hillary KIMAIYO,4130,🇰🇪,0,,,
Hugo CONTRERAS,4037,🇨🇱,0,70-74,https://utmb.world/en/runner/2345111.hugo.contreras,Hugo CONTRERAS
Ibai LARREA,4068,🇪🇸,0,20-34,https://utmb.world/en/runner/4954205.ibai.larrea,Ibai LARREA
Isaac Mande KIBET,4227,🇺🇬,0,,,
Jake FENECH,4153,🇲🇹,0,,,
Javier Adolfo CARRIQUEO,4003,🇦🇷,0,,,
Jeffrey ARCHER,4028,🇨🇦,0,20-34,https://utmb.world/en/runner/228046.jeffrey.archer,Jeffrey ARCHER
Jeremy HUNT,4010,🇦🇺,0,,,
Joel TORREZ CRUZ,4024,🇧🇴,0,,,
Johan BUGGE,4158,🇳🇴,0,20-34,https://utmb.world/en/runner/2330377.johan.bugge,Johan BUGGE
Jonas SOLDINI,4217,🇨🇭,0,,,
Josphat KIPROTICH,4132,🇰🇪,0,,,
Jānis MEŽIELS,4140,🇱🇻,0,20-34,https://utmb.world/en/runner/1983983.janis.meziels,Jānis MEŽIELS
Karim RAMADAN,4143,🇱🇧,0,,,
Killian MOONEY,4112,🇮🇪,0,20-34,https://utmb.world/en/runner/2587203.killian.mooney,Killian MOONEY
Kouider BOUREGBA,4001,🇩🇿,0,50-54,https://utmb.world/en/runner/3747789.kouider.bouregba,Kouider BOUREGBA
Kristaps BĒRZIŅŠ,4137,🇱🇻,0,20-34,https://utmb.world/en/runner/1983175.kristaps.berzins,Kristaps BERZINS
Lari TAKANEN,4074,🇫🇮,0,20-34,https://utmb.world/en/runner/1390723.lari.takanen,Lari TAKANEN
Leo PETERSON,4012,🇦🇺,0,20-34,https://utmb.world/en/runner/2330523.leo.peterson,Leo PETERSON
Leonard CHEMUTAI,4225,🇺🇬,0,,,
Liam MEIROW,4238,🇺🇸,0,20-34,https://utmb.world/en/runner/3805553.liam.meirow,Liam MEIROW
Lorenzo BUGLI,4208,🇸🇲,0,20-34,https://utmb.world/en/runner/2330545.lorenzo.bugli,Lorenzo BUGLI
Luciano ROTA,4122,🇮🇹,0,,,
Luis Fernando ORDOÑEZ,4148,🇲🇽,0,,,
Marco FRANCIONI,4209,🇸🇲,0,,,
Marek CHRASCINA,4049,🇨🇿,0,20-34,https://utmb.world/en/runner/2330405.marek.chrascina,Marek CHRASCINA
Marius Valentin POPA,4189,🇷🇴,0,,,
Martin ENZENBERGER,4017,🇦🇹,0,,,
Mbuleli MATHANGA,4195,🇿🇦,0,,,
Michael SUTTON,4168,🇳🇿,0,,,
Michal ŠMAHEL,4051,🇨🇿,0,,,
Michał OLEJNIK,4180,🇵🇱,0,20-34,https://utmb.world/en/runner/5222492.michal.olejnik,Michał OLEJNIK
Michele AGOSTINI,4207,🇸🇲,0,20-34,https://utmb.world/en/runner/2330537.michele.agostini,Michele AGOSTINI
Niam MACDONALD,4167,🇳🇿,0,20-34,https://utmb.world/en/runner/809173.niam.macdonald,Niam MACDONALD
Oscar Paul BASANTES GUAÑUNA,4058,🇪🇨,0,,,
Pedro Jose PUENTES FIGUEROA,4243,🇻🇪,0,,,
Pedro Miguel RODRIGUES,4186,🇵🇹,0,45-49,https://utmb.world/en/runner/396119.pedromiguel.rodrigues,Pedro-Miguel RODRIGUES
Peter-Daniel HERMAN,4187,🇷🇴,0,,,
Raoul RAUS,4022,🇧🇪,0,20-34,https://utmb.world/en/runner/3371547.raoul.raus,Raoul RAUS
Robert MCCANN,4030,🇨🇦,0,20-34,https://utmb.world/en/runner/3709147.robert.mccann,Robert MCCANN
Roberto DEL VALLE,4147,🇲🇽,0,,,
Sagar KHEMANI,4108,🇮🇳,0,,,
Toby BATCHELOR,4165,🇳🇿,0,20-34,https://utmb.world/en/runner/4107926.toby.batchelor,Toby BATCHELOR
Tomas REYES,4150,🇲🇽,0,,,
Valentas UŽA,4145,🇱🇹,0,,,
Yousheng GUAN,4044,🇨🇳,0,,,
Zoltán VIGH,4104,🇭🇺,0,40-44,https://utmb.world/en/runner/1976429.zoltan.vigh,Zoltan VIGH
Ákos MOLNÁR,4103,🇭🇺,0,50-54,https://utmb.world/en/runner/541265.akos.molnar,Akos MOLNAR
